PullRequestTitle,PullRequestNumber,PullRequestState,PullRequestCreatedAt,PullRequestUpdatedAt,PullRequestClosedAt,PullRequestMergedAt,PullRequestAuthor,PullRequestReviewsCount,PullRequestReviewers,PullRequestCommentsCount,ReviewDuration
Use github: in yarn resolutions and remove whitepaper,34,MERGED,2020-07-08T22:01:20Z,2020-07-09T17:44:22Z,2020-07-09T17:44:21Z,2020-07-09T17:44:21Z,jflatow,0,[],1,0 days 19:43:01
Enable updateable parameters for JumpRateModelV2 & use in Dai IRM v3,35,MERGED,2020-07-11T13:50:08Z,2020-12-02T20:54:23Z,2020-07-29T23:41:56Z,2020-07-29T23:41:56Z,0age,0,[],1,18 days 09:51:48
Fix typo in Governor Alpha section,36,MERGED,2020-07-14T05:08:16Z,2020-08-20T01:57:40Z,2020-08-19T19:10:00Z,2020-08-19T19:10:00Z,James-Sangalli,0,[],1,36 days 14:01:44
Add borrow limit for each market,42,CLOSED,2020-07-14T17:56:14Z,2020-09-14T21:47:36Z,2020-09-14T21:47:35Z,,arr00,0,[],1,62 days 03:51:21
Networks config and abis for the open price feed proposal,45,MERGED,2020-07-30T21:41:33Z,2020-08-19T18:55:52Z,2020-08-19T18:55:50Z,2020-08-19T18:55:50Z,jflatow,0,[],1,19 days 21:14:17
gas optimization for CToken.accrueInterest(),46,CLOSED,2020-08-01T16:28:31Z,2020-09-14T23:03:06Z,2020-09-14T23:03:06Z,,yuange1024,0,[],1,44 days 06:34:35
Update InterestRateModel.sol,47,MERGED,2020-08-17T05:58:20Z,2020-08-17T10:19:15Z,2020-08-17T06:44:19Z,2020-08-17T06:44:19Z,payomdousti,0,[],1,0 days 00:45:59
Revert the CErc20Delegator back to slightly less optimized version,48,CLOSED,2020-08-19T19:27:46Z,2020-09-14T23:05:01Z,2020-09-14T23:05:01Z,,jflatow,0,[],1,26 days 03:37:15
Upgrade saddle version,50,CLOSED,2020-08-21T20:26:30Z,2020-08-25T05:09:37Z,2020-08-21T20:30:36Z,,toninorair,0,[],1,0 days 00:04:06
name > NAME,52,CLOSED,2020-08-22T07:50:24Z,2020-08-24T20:14:13Z,2020-08-24T20:14:13Z,,moshejs,0,[],1,2 days 12:23:49
fixed: Timelock.sol constructor revert message,53,CLOSED,2020-08-25T13:48:12Z,2020-08-27T14:07:06Z,2020-08-27T14:07:06Z,,tansawit,0,[],1,2 days 00:18:54
"upgrade everything, fingers crossed",55,CLOSED,2020-08-26T17:58:22Z,2020-09-14T23:49:52Z,2020-09-14T23:49:52Z,,toninorair,0,[],1,19 days 05:51:30
Fix typo in Timelock constructor error message,56,CLOSED,2020-08-27T13:40:19Z,2020-08-27T15:42:25Z,2020-08-27T15:42:24Z,,chefnomi,0,[],1,0 days 02:02:05
Add a 'Contributing' section + link to README,57,MERGED,2020-08-27T16:50:20Z,2021-03-28T00:06:33Z,2020-08-27T18:38:01Z,2020-08-27T18:38:01Z,jflatow,0,[],1,0 days 01:47:41
Delete ethers lib,58,CLOSED,2020-08-27T17:51:33Z,2020-09-14T23:58:17Z,2020-09-14T23:58:17Z,,toninorair,0,[],1,18 days 06:06:44
CBP token 169daa7,59,CLOSED,2020-08-29T08:43:33Z,2020-09-03T22:10:11Z,2020-09-03T22:10:11Z,,ComboDeFi,0,[],1,5 days 13:26:38
JumpRateModelV2 Refactorization and addition of LegacyJumpRateModelV2,61,CLOSED,2020-09-04T20:44:13Z,2020-09-21T16:17:20Z,2020-09-21T16:17:20Z,,arr00,0,[],1,16 days 19:33:07
"Upgrade dependencies, merge into develop branch ",64,MERGED,2020-09-10T19:42:29Z,2020-09-10T22:53:45Z,2020-09-10T22:53:45Z,2020-09-10T22:53:45Z,toninorair,0,[],1,0 days 03:11:16
